GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 30% Silica 
Start: 24-Aug-23  00:41:34   End: 24-Aug-23  00:46:34 
  
Foreground:  169707 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.70082 +/- 0.0069935  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 5 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169707 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.06999161	0.55721949	0.01335285	0.00378503
0.07171376	0.55930578	0.01058196	0.00382046
0.07347452	0.54597984	0.01165182	0.00388542
0.07541525	0.57909768	0.01231512	0.00394184
0.07731394	0.56451206	0.00926500	0.00401172
0.07934530	0.56056668	0.01145642	0.00407742
0.08148640	0.54730731	0.00966993	0.00415140
0.08332456	0.57931841	0.00976884	0.00421742
0.08541280	0.56273518	0.01045758	0.00428653
0.08759142	0.55675868	0.00864854	0.00434600
0.08955883	0.57135667	0.00988177	0.00442462
0.09180435	0.55809510	0.00907781	0.00450033
0.09388037	0.56174402	0.00819698	0.00456982
0.09617666	0.56603737	0.00930784	0.00466162
0.09845050	0.55435938	0.00781679	0.00472999
0.10051043	0.54677124	0.00883726	0.00481201
0.10294981	0.56114991	0.00769054	0.00488742
0.10512391	0.54287798	0.00785353	0.00497641
0.10755278	0.55415511	0.00794568	0.00505847
0.10990883	0.55994103	0.00709448	0.00515427
0.11244154	0.54765940	0.00751228	0.00523914
0.11499993	0.55394441	0.00678725	0.00533739
0.11750239	0.55399669	0.00729725	0.00542826
0.12020322	0.55732626	0.00645409	0.00552101
0.12282100	0.54419477	0.00680120	0.00562859
0.12554282	0.54125605	0.00640743	0.00571375
0.12810408	0.54117034	0.00642341	0.00581509
0.13102353	0.52278872	0.00590368	0.00593719
0.13370214	0.53014199	0.00624435	0.00602785
0.13663349	0.53104514	0.00566086	0.00613823
0.13946530	0.52984139	0.00599625	0.00625322
0.14251987	0.52254328	0.00526138	0.00635896
0.14553400	0.52158310	0.00582796	0.00648402
0.14856066	0.51194214	0.00503237	0.00660581
0.15183509	0.51178473	0.00534783	0.00671486
0.15484856	0.50722560	0.00496057	0.00683511
0.15828075	0.50699793	0.00492737	0.00697811
0.16140872	0.50807928	0.00499582	0.00708574
0.16482463	0.50352971	0.00457132	0.00722831
0.16831944	0.48800169	0.00468935	0.00736780
0.17164852	0.48951423	0.00441045	0.00749654
0.17532467	0.49334968	0.00440681	0.00762957
0.17876744	0.48110164	0.00443998	0.00776925
0.18241077	0.48467298	0.00402514	0.00792024
0.18639341	0.47898309	0.00403943	0.00806398
0.19008794	0.47591356	0.00413945	0.00821652
0.19382503	0.48017396	0.00386677	0.00836871
0.19793047	0.47323358	0.00378116	0.00852697
0.20196078	0.47274035	0.00377025	0.00869297
0.20589023	0.47124459	0.00371398	0.00883341
0.21010643	0.45964014	0.00347367	0.00900902
0.21447847	0.45745645	0.00344530	0.00918858
0.21877480	0.45937037	0.00344936	0.00936219
0.22302420	0.45557398	0.00336468	0.00950408
0.22751415	0.45956520	0.00323023	0.00968868
0.23214025	0.45648767	0.00320641	0.00986446
0.23680051	0.45310375	0.00310835	0.01005752
0.24155418	0.45344082	0.00305751	0.01025282
0.24631334	0.45364468	0.00304383	0.01042687
0.25109113	0.44840674	0.00295393	0.01062490
0.25611512	0.45167524	0.00284551	0.01083226
0.26127861	0.44969298	0.00280940	0.01104241
0.26654021	0.44703079	0.00272514	0.01125719
0.27185319	0.44217825	0.00270043	0.01147728
0.27719600	0.44458197	0.00264234	0.01166888
0.28267257	0.44744640	0.00259629	0.01188864
0.28829269	0.44564749	0.00253016	0.01212163
0.29397450	0.44431028	0.00250734	0.01235627
0.29975375	0.44432673	0.00243279	0.01259388
0.30567867	0.43919081	0.00239421	0.01283235
0.31163605	0.43884996	0.00240787	0.01306243
0.31774468	0.43927533	0.00235102	0.01331511
0.32400374	0.43938298	0.00234928	0.01357323
0.33031886	0.43622032	0.00231813	0.01383217
0.33679567	0.43740296	0.00228284	0.01408414
0.34347727	0.43627323	0.00228493	0.01436106
0.35025256	0.43248463	0.00229249	0.01464150
0.35711088	0.43806714	0.00230403	0.01492468
0.36402107	0.43307099	0.00231282	0.01519187
0.37111563	0.43240841	0.00225412	0.01548077
0.37844949	0.43389494	0.00225037	0.01578143
0.38585516	0.43158778	0.00227108	0.01608781
0.39336977	0.42899477	0.00223098	0.01639835
0.40105392	0.43130290	0.00221304	0.01671529
0.40888170	0.42933452	0.00222689	0.01703697
0.41685032	0.43200313	0.00219092	0.01736103
0.42495624	0.43437024	0.00220025	0.01768466
0.43328380	0.42910942	0.00216018	0.01802918
0.44165071	0.42875347	0.00216343	0.01835729
0.45031574	0.43295364	0.00213301	0.01871466
0.45900486	0.42859369	0.00214579	0.01907210
0.46796546	0.42880085	0.00207932	0.01943957
0.47711386	0.42815893	0.00210707	0.01981108
0.48626432	0.43068032	0.00208137	0.02018943
0.49580203	0.42781793	0.00204466	0.02058364
0.50549565	0.42719139	0.00204408	0.02098395
0.51522328	0.42673206	0.00204109	0.02138528
0.52508621	0.43017524	0.00203008	0.02179180
0.53530281	0.42650458	0.00198279	0.02219505
0.54573432	0.42456714	0.00198106	0.02262182
0.55633493	0.42643240	0.00195631	0.02305476
0.56715525	0.42575901	0.00194986	0.02350181
0.57784791	0.42961218	0.00228317	0.02394303
0.58906605	0.42795705	0.00260621	0.02440567
0.60047680	0.41971525	0.00297110	0.02487597
0.61204215	0.42650364	0.00353341	0.02535209
0.62369515	0.43033011	0.00448506	0.02582104
0.63518401	0.42762555	0.00676073	0.02629080
0.64574395	0.40959263	0.01470866	0.02670595
