GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 10% Silica 
Start: 24-Aug-23  00:31:28   End: 24-Aug-23  00:36:28 
  
Foreground:  169705 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.69066 +/- 0.006932  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 3 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169705 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.06635140	0.51386834	0.01077707	0.00365211
0.06811121	0.53953652	0.01236876	0.00372295
0.06999161	0.51169952	0.01288931	0.00378503
0.07171376	0.51522473	0.01023212	0.00382046
0.07347452	0.51786875	0.01143358	0.00388542
0.07541525	0.50397880	0.01157511	0.00394184
0.07731394	0.51030228	0.00887134	0.00401172
0.07934530	0.49977872	0.01089781	0.00407742
0.08148640	0.49882491	0.00929806	0.00415140
0.08332456	0.50712945	0.00920932	0.00421742
0.08541280	0.50485937	0.00998026	0.00428653
0.08759142	0.51793388	0.00840347	0.00434600
0.08955883	0.48976748	0.00922079	0.00442462
0.09180435	0.50838675	0.00872948	0.00450033
0.09388037	0.51806237	0.00792930	0.00456982
0.09617666	0.51214519	0.00891723	0.00466162
0.09845050	0.51139759	0.00756143	0.00472999
0.10051043	0.51262873	0.00861973	0.00481201
0.10294981	0.49812688	0.00730082	0.00488742
0.10512391	0.51435936	0.00770182	0.00497641
0.10755278	0.51616988	0.00772632	0.00505847
0.10990883	0.50766516	0.00680567	0.00515427
0.11244154	0.49468294	0.00719326	0.00523914
0.11499993	0.50465943	0.00652751	0.00533739
0.11750239	0.50907145	0.00704729	0.00542826
0.12020322	0.50562446	0.00619276	0.00552101
0.12282100	0.51049588	0.00663749	0.00562859
0.12554282	0.50394719	0.00623010	0.00571375
0.12810408	0.49959395	0.00621751	0.00581509
0.13102353	0.51079533	0.00587396	0.00593719
0.13370214	0.49707154	0.00609301	0.00602785
0.13663349	0.50430840	0.00555805	0.00613823
0.13946530	0.49509295	0.00583911	0.00625322
0.14251987	0.49166969	0.00514332	0.00635896
0.14553400	0.49938368	0.00574413	0.00648402
0.14856066	0.49077814	0.00496321	0.00660581
0.15183509	0.50024002	0.00532405	0.00671486
0.15484856	0.49597288	0.00494152	0.00683511
0.15828075	0.48779473	0.00486951	0.00697811
0.16140872	0.48323654	0.00490774	0.00708574
0.16482463	0.48578992	0.00452278	0.00722831
0.16831944	0.49238192	0.00474345	0.00736780
0.17164852	0.48927681	0.00444034	0.00749654
0.17532467	0.48598834	0.00440615	0.00762957
0.17876744	0.48951867	0.00451010	0.00776925
0.18241077	0.48290323	0.00404474	0.00792024
0.18639341	0.48681927	0.00410011	0.00806398
0.19008794	0.48201647	0.00419468	0.00821652
0.19382503	0.48240502	0.00390332	0.00836871
0.19793047	0.48217870	0.00384304	0.00852697
0.20196078	0.48889201	0.00385850	0.00869297
0.20589023	0.48868086	0.00380967	0.00883341
0.21010643	0.47367426	0.00354972	0.00900902
0.21447847	0.47691333	0.00354086	0.00918858
0.21877480	0.48136266	0.00355607	0.00936219
0.22302420	0.47488177	0.00345737	0.00950408
0.22751415	0.47485429	0.00330617	0.00968868
0.23214025	0.47841828	0.00330345	0.00986446
0.23680051	0.47079243	0.00318964	0.01005752
0.24155418	0.47317160	0.00314338	0.01025282
0.24631334	0.47560529	0.00313682	0.01042687
0.25109113	0.47748213	0.00306816	0.01062490
0.25611512	0.47430498	0.00293491	0.01083226
0.26127861	0.46782887	0.00288413	0.01104241
0.26654021	0.47460813	0.00282600	0.01125719
0.27185319	0.46914827	0.00279872	0.01147728
0.27719600	0.46965056	0.00273349	0.01166888
0.28267257	0.46798253	0.00267356	0.01188864
0.28829269	0.47043204	0.00261753	0.01212163
0.29397450	0.47383359	0.00260603	0.01235627
0.29975375	0.46525450	0.00250636	0.01259388
0.30567867	0.47189095	0.00249851	0.01283235
0.31163605	0.46650350	0.00249733	0.01306243
0.31774468	0.46613816	0.00243773	0.01331511
0.32400374	0.46526664	0.00243326	0.01357323
0.33031886	0.46686655	0.00241473	0.01383217
0.33679567	0.46702377	0.00237380	0.01408414
0.34347727	0.46392707	0.00237136	0.01436106
0.35025256	0.46929159	0.00240339	0.01464150
0.35711088	0.46354068	0.00238687	0.01492468
0.36402107	0.46782860	0.00241981	0.01519187
0.37111563	0.46254316	0.00234682	0.01548077
0.37844949	0.46496853	0.00234373	0.01578143
0.38585516	0.46434769	0.00237123	0.01608781
0.39336977	0.46711560	0.00234302	0.01639835
0.40105392	0.46420493	0.00231130	0.01671529
0.40888170	0.45851044	0.00231721	0.01703697
0.41685032	0.46587707	0.00229014	0.01736103
0.42495624	0.45910621	0.00227700	0.01768466
0.43328380	0.46464737	0.00226298	0.01802918
0.44165071	0.46373327	0.00226494	0.01835729
0.45031574	0.46106597	0.00221573	0.01871466
0.45900486	0.45831012	0.00223388	0.01907210
0.46796546	0.46242374	0.00217357	0.01943957
0.47711386	0.46040077	0.00220043	0.01981108
0.48626432	0.46058535	0.00216665	0.02018943
0.49580203	0.46366027	0.00214332	0.02058364
0.50549565	0.46170867	0.00213923	0.02098395
0.51522328	0.46206618	0.00213818	0.02138528
0.52508621	0.46544258	0.00212547	0.02179180
0.53530281	0.45851979	0.00206979	0.02219505
0.54573432	0.46121895	0.00207929	0.02262182
0.55633493	0.45904289	0.00204376	0.02305476
0.56715525	0.45960870	0.00204001	0.02350181
0.57784791	0.46308467	0.00238654	0.02394303
0.58906605	0.45728660	0.00271230	0.02440567
0.60047680	0.45999427	0.00313085	0.02487597
0.61204215	0.46362824	0.00370783	0.02535209
0.62369515	0.46835393	0.00471015	0.02582104
0.63518401	0.45944734	0.00705646	0.02629080
0.64574395	0.47278372	0.01589341	0.02670595
