GRASP_Variant V.10.18    Instrument:  ILL_d22_2D 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  8/4 20% Silica 
Start: 24-Aug-23  00:36:31   End: 24-Aug-23  00:41:32 
  
Foreground:  169706 , Loaded: 169704:169713,169702,169703 
Background:  169701 , Loaded: 169701 
Blocked Beam:  169700 , Loaded: 169700 
  
Beam Centre1 :  Cx = 65.3598  Cy = 130.2803       Cm Translation :  Tx = -0.05  Ty = 0 [mm] 
Beam Centre2 :  Cx = 47  Cy = 123.1965       Cm Translation :  Tx = 10.0391  Ty = 0 [mm] 
Transmissions:  Ts = 0.68823 +/- 0.0069201  Te = 0.94242 +/- 0.0097735 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 cm 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 4 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging Worksheets through Depths  1:12 
Numor:  169706 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  linear 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.01858054	2.22304087	0.04921507	0.00116300
0.01910770	1.84708688	0.04517195	0.00117694
0.01965039	1.61109559	0.03994555	0.00119381
0.02023706	1.50797429	0.03683454	0.00121371
0.02082713	1.56140171	0.03785547	0.00122796
0.02139010	1.50573200	0.03712775	0.00124134
0.02196818	1.44414792	0.03464887	0.00125904
0.02255653	1.37180582	0.03414167	0.00127736
0.02313200	1.23939354	0.03215260	0.00129457
0.02371583	1.15655549	0.03038982	0.00131194
0.02431045	1.00402181	0.02798287	0.00132953
0.02491384	1.03411516	0.02751571	0.00134847
0.02555525	1.06562310	0.02645066	0.00137305
0.02620400	0.97571721	0.02587138	0.00138961
0.02685413	0.99165114	0.02483382	0.00141309
0.02751624	0.99303486	0.02499999	0.00143252
0.02817524	0.88397248	0.02297869	0.00144899
0.02886832	0.85352502	0.02207390	0.00147605
0.02960799	0.77530079	0.02183779	0.00148535
0.03033441	0.77584043	0.02328991	0.00150870
0.03104727	0.72671169	0.02407860	0.00153392
0.03176368	0.68907991	0.02557590	0.00155848
0.03249423	0.65389367	0.02572564	0.00159207
0.03325110	0.69627407	0.02828550	0.00161788
0.03400926	0.68580288	0.02986514	0.00164449
0.03477287	0.63942439	0.03054954	0.00167081
0.03556236	0.63926857	0.03177426	0.00169763
0.03636787	0.66548925	0.03547202	0.00172567
0.03717364	0.64461150	0.03750328	0.00175309
0.03800250	0.66617169	0.04149796	0.00179090
0.03884160	0.64320229	0.04647104	0.00181544
0.03968737	0.62694214	0.05276694	0.00185625
0.04054383	0.60860433	0.06623946	0.00188558
0.04134171	0.68228283	0.11461493	0.00192306
0.04209943	0.43050938	0.15138286	0.00228343
0.04357281	0.57877622	0.02989515	0.00299610
0.04504400	0.58814554	0.01737511	0.00302280
0.04644673	0.52230687	0.02009473	0.00306757
0.04813570	0.54088891	0.02038353	0.00311850
0.04995502	0.55840754	0.01689434	0.00315829
0.05123348	0.55001659	0.01589391	0.00320006
0.05287986	0.56888636	0.01939557	0.00325694
0.05443269	0.51668633	0.01846644	0.00329920
0.05591854	0.52891701	0.01230231	0.00334216
0.05760077	0.55484630	0.01676610	0.00339849
0.05916830	0.55676401	0.01686610	0.00343640
0.06099417	0.55592918	0.01156841	0.00348538
0.06278691	0.52937498	0.01361599	0.00354080
0.06458726	0.54044920	0.01437310	0.00359981
0.06635140	0.53746560	0.01104471	0.00365211
0.06811121	0.57628675	0.01280611	0.00372295
0.06999161	0.53592794	0.01321728	0.00378503
0.07171376	0.52160417	0.01031336	0.00382046
0.07347452	0.51979295	0.01147461	0.00388542
0.07541525	0.53215911	0.01191735	0.00394184
0.07731394	0.53928678	0.00913634	0.00401172
0.07934530	0.54879212	0.01143628	0.00407742
0.08148640	0.54149086	0.00970194	0.00415140
0.08332456	0.53870811	0.00950955	0.00421742
0.08541280	0.56406027	0.01056765	0.00428653
0.08759142	0.55956638	0.00875037	0.00434600
0.08955883	0.54246734	0.00971776	0.00442462
0.09180435	0.53479469	0.00896957	0.00450033
0.09388037	0.56193538	0.00827320	0.00456982
0.09617666	0.54284698	0.00919894	0.00466162
0.09845050	0.55002378	0.00785700	0.00472999
0.10051043	0.53839353	0.00884802	0.00481201
0.10294981	0.55100619	0.00769135	0.00488742
0.10512391	0.53851214	0.00789432	0.00497641
0.10755278	0.53592790	0.00788661	0.00505847
0.10990883	0.54372800	0.00705717	0.00515427
0.11244154	0.54556952	0.00756786	0.00523914
0.11499993	0.53479392	0.00673092	0.00533739
0.11750239	0.54026462	0.00727337	0.00542826
0.12020322	0.52122723	0.00629901	0.00552101
0.12282100	0.52693433	0.00675494	0.00562859
0.12554282	0.53816507	0.00644757	0.00571375
0.12810408	0.53054033	0.00641955	0.00581509
0.13102353	0.52463077	0.00596633	0.00593719
0.13370214	0.51195798	0.00619519	0.00602785
0.13663349	0.53680664	0.00574457	0.00613823
0.13946530	0.52521434	0.00602504	0.00625322
0.14251987	0.51101724	0.00525202	0.00635896
0.14553400	0.52175955	0.00588344	0.00648402
0.14856066	0.52230044	0.00512953	0.00660581
0.15183509	0.50850906	0.00537875	0.00671486
0.15484856	0.51669323	0.00505244	0.00683511
0.15828075	0.51092687	0.00499147	0.00697811
0.16140872	0.51456469	0.00507362	0.00708574
0.16482463	0.51164340	0.00464916	0.00722831
0.16831944	0.50275394	0.00480276	0.00736780
0.17164852	0.50672913	0.00452771	0.00749654
0.17532467	0.50026076	0.00447913	0.00762957
0.17876744	0.50066215	0.00457003	0.00776925
0.18241077	0.49306808	0.00409579	0.00792024
0.18639341	0.49713159	0.00415404	0.00806398
0.19008794	0.49379069	0.00425437	0.00821652
0.19382503	0.49198497	0.00394977	0.00836871
0.19793047	0.49716402	0.00390949	0.00852697
0.20196078	0.48209666	0.00384069	0.00869297
0.20589023	0.48334034	0.00379679	0.00883341
0.21010643	0.48113229	0.00358602	0.00900902
0.21447847	0.48083131	0.00356244	0.00918858
0.21877480	0.48022191	0.00355829	0.00936219
0.22302420	0.47694454	0.00347293	0.00950408
0.22751415	0.47601031	0.00331676	0.00968868
0.23214025	0.47053866	0.00328394	0.00986446
0.23680051	0.47615655	0.00321428	0.01005752
0.24155418	0.47290100	0.00314809	0.01025282
0.24631334	0.46965035	0.00312498	0.01042687
0.25109113	0.47426427	0.00306479	0.01062490
0.25611512	0.47202293	0.00293484	0.01083226
0.26127861	0.47139554	0.00290154	0.01104241
0.26654021	0.46628628	0.00280777	0.01125719
0.27185319	0.46861090	0.00280374	0.01147728
0.27719600	0.46928119	0.00273771	0.01166888
0.28267257	0.46688363	0.00267603	0.01188864
0.28829269	0.46909686	0.00261918	0.01212163
0.29397450	0.46653179	0.00259162	0.01235627
0.29975375	0.46690274	0.00251655	0.01259388
0.30567867	0.46601800	0.00248790	0.01283235
0.31163605	0.46688696	0.00250507	0.01306243
0.31774468	0.46393688	0.00243645	0.01331511
0.32400374	0.46229140	0.00243074	0.01357323
0.33031886	0.46154482	0.00240558	0.01383217
0.33679567	0.45750502	0.00235585	0.01408414
0.34347727	0.45692952	0.00235844	0.01436106
0.35025256	0.46297891	0.00239283	0.01464150
0.35711088	0.46580672	0.00239860	0.01492468
0.36402107	0.45753430	0.00239961	0.01519187
0.37111563	0.45568087	0.00233439	0.01548077
0.37844949	0.45598312	0.00232630	0.01578143
0.38585516	0.46236083	0.00237176	0.01608781
0.39336977	0.45997392	0.00233103	0.01639835
0.40105392	0.46170533	0.00231090	0.01671529
0.40888170	0.45756341	0.00231945	0.01703697
0.41685032	0.45869977	0.00227755	0.01736103
0.42495624	0.45966848	0.00228423	0.01768466
0.43328380	0.45239467	0.00223871	0.01802918
0.44165071	0.45101343	0.00223931	0.01835729
0.45031574	0.45588148	0.00220871	0.01871466
0.45900486	0.45789426	0.00223741	0.01907210
0.46796546	0.45300781	0.00215641	0.01943957
0.47711386	0.45564091	0.00219396	0.01981108
0.48626432	0.45130207	0.00214975	0.02018943
0.49580203	0.45598712	0.00213012	0.02058364
0.50549565	0.45428194	0.00212719	0.02098395
0.51522328	0.45170833	0.00211908	0.02138528
0.52508621	0.45340582	0.00210349	0.02179180
0.53530281	0.45580519	0.00206844	0.02219505
0.54573432	0.45103900	0.00206108	0.02262182
0.55633493	0.45475210	0.00203869	0.02305476
0.56715525	0.45432006	0.00203308	0.02350181
0.57784791	0.45391671	0.00236875	0.02394303
0.58906605	0.45184448	0.00270276	0.02440567
0.60047680	0.44851388	0.00309929	0.02487597
0.61204215	0.45297081	0.00367477	0.02535209
0.62369515	0.45787089	0.00466898	0.02582104
0.63518401	0.45127368	0.00701601	0.02629080
0.64574395	0.44690486	0.01551017	0.02670595
